Course Section,Course Subject,Course Number,Section Number,Academic Level,Section Status,Section Title,Term,Number of Registered Students,Number of Waitlisted Students with Seat Offer,Number of Waitlisted Students,Number of Registered Students and Active Seat Offer Notifications,Section Capacity,Wait List Capacity,Instructional Format,Delivery Mode,Instructor
GRS_V 490-105,GRS_V,490,105,Undergraduate,Open,Global Issues in Cultural Context,W1-2,4,0,0,4,20,0,Independent Study,In Person Learning,Leslie Lavkulich
GRS_V 497-B_001,GRS_V,497,B_001,Undergraduate,Closed,Regional Directed Field Studies,W1,3,0,0,3,0,0,Independent Study,In Person Learning,Leslie Lavkulich
GRS_V 497-B_003,GRS_V,497,B_003,Undergraduate,Closed,Regional Directed Field Studies,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,Leslie Lavkulich
GRS_V 497-E_101,GRS_V,497,E_101,Undergraduate,Closed,Regional Directed Field Studies,W1-2,3,0,0,3,0,0,Independent Study,In Person Learning,Leslie Lavkulich
HUNU_V 500-001,HUNU_V,500,001,Graduate,Open,Research Methods in Human Nutrition,W1,21,0,0,21,25,0,Discussion,In Person Learning,"Mahsa Jessri

Yvonne Lamers"
HUNU_V 510-001,HUNU_V,510,001,Graduate,Closed,Nutrition Assessment Across the Lifespan,W1,15,0,0,15,15,0,Lecture,In Person Learning,Yvonne Lamers
HUNU_V 531-001,HUNU_V,531,001,Graduate,Open,M.Sc. Seminar,W1,1,0,0,1,30,0,Seminar,In Person Learning,Crystal Dawn Karakochuk
HUNU_V 531-003,HUNU_V,531,003,Graduate,Open,M.Sc. Seminar,W1-2,8,0,0,8,20,0,Seminar,In Person Learning,Crystal Dawn Karakochuk
HUNU_V 541-001,HUNU_V,541,001,Graduate,Open,Food Provision and Management in Dietetics,W1,11,0,0,11,15,0,Lecture,In Person Learning,Anna Brisco
HUNU_V 541-E01,HUNU_V,541,E01,Graduate,Open,Food Provision and Management in Dietetics,W1,11,0,0,11,15,0,Experiential,In Person Learning,Anna Brisco
HUNU_V 547-B_001,HUNU_V,547,B_001,Graduate,Closed,Directed Studies,W1,0,0,0,0,0,0,Independent Study,In Person Learning,
HUNU_V 547-B_003,HUNU_V,547,B_003,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,
HUNU_V 547-E_003,HUNU_V,547,E_003,Graduate,Closed,Directed Studies,W1-2,1,0,0,1,0,0,Independent Study,In Person Learning,
HUNU_V 549-001,HUNU_V,549,001,Graduate,Open,M.Sc. Thesis,W1,3,0,0,3,40,0,Thesis,In Person Learning,
HUNU_V 549-003,HUNU_V,549,003,Graduate,Open,M.Sc. Thesis,W1-2,6,0,0,6,40,0,Thesis,In Person Learning,
HUNU_V 550-001,HUNU_V,550,001,Graduate,Closed,Advances in Human Nutrition,W1,15,0,0,15,15,0,Lecture,In Person Learning,Bruna Donatti Castro Falci
HUNU_V 550-D01,HUNU_V,550,D01,Graduate,Closed,Advances in Human Nutrition,W1,15,0,0,15,15,0,Discussion,In Person Learning,Bruna Donatti Castro Falci
HUNU_V 560-001,HUNU_V,560,001,Graduate,Open,Leadership in Dietetics and Health,W1,11,0,0,11,15,0,Lecture,In Person Learning,"Nicole Spencer

Raihan Hassen"
HUNU_V 576-001,HUNU_V,576,001,Graduate,Open,Nutrition Care II,W1,11,0,0,11,15,0,Lecture,In Person Learning,Bruna Donatti Castro Falci
HUNU_V 576-D01,HUNU_V,576,D01,Graduate,Open,Nutrition Care II,W1,11,0,0,11,15,0,Discussion,In Person Learning,Bruna Donatti Castro Falci
HUNU_V 581-001,HUNU_V,581,001,Graduate,Open,Dietetics Practice Education Placement II,W1,11,0,0,11,15,0,Research,In Person Learning,Tamara Cohen
HUNU_V 583-001,HUNU_V,583,001,Graduate,Open,Dietetics Practice Education Placement IV,W1,10,0,0,10,15,0,Experiential,Hybrid Learning,"Anna Brisco

Bruna Donatti Castro Falci"
HUNU_V 631-001,HUNU_V,631,001,Graduate,Open,Ph.D. Seminar,W1,1,0,0,1,30,0,Seminar,In Person Learning,Crystal Dawn Karakochuk
HUNU_V 631-003,HUNU_V,631,003,Graduate,Open,Ph.D. Seminar,W1-2,12,0,0,12,30,0,Seminar,In Person Learning,Crystal Dawn Karakochuk
HUNU_V 649-001,HUNU_V,649,001,Graduate,Open,Doctoral Dissertation,W1,1,0,0,1,20,0,Thesis,In Person Learning,
HUNU_V 649-003,HUNU_V,649,003,Graduate,Open,Doctoral Dissertation,W1-2,11,0,0,11,20,0,Thesis,In Person Learning,
LFS_V 100-001,LFS_V,100,001,Undergraduate,Open,"Introduction to Land, Food and Community",W1,143,0,0,143,145,0,Lecture,In Person Learning,Raelani Kesler
LFS_V 100-002,LFS_V,100,002,Undergraduate,Open,"Introduction to Land, Food and Community",W1,110,0,0,110,145,0,Lecture,Online Learning,Raelani Kesler
LFS_V 100-003,LFS_V,100,003,Undergraduate,Open,"Introduction to Land, Food and Community",W1,87,0,0,87,145,0,Lecture,Online Learning,Raelani Kesler
LFS_V 100-XMT,LFS_V,100,XMT,Undergraduate,Closed,"Introduction to Land, Food and Community",W1,0,0,0,0,0,0,Lecture,Online Learning,
LFS_V 110-101,LFS_V,110,101,Undergraduate,Open,Land One: First-year Integrative Seminar,W1-2,29,0,0,29,30,0,Lecture,In Person Learning,Fernanda Tomaselli
LFS_V 110-L01,LFS_V,110,L01,Undergraduate,Open,Land One: First-year Integrative Seminar,W1-2,29,0,0,29,30,0,Laboratory,In Person Learning,Fernanda Tomaselli
LFS_V 110-T01,LFS_V,110,T01,Undergraduate,Open,Land One: First-year Integrative Seminar,W1-2,29,0,0,29,30,0,Discussion,In Person Learning,Fernanda Tomaselli
LFS_V 150-001,LFS_V,150,001,Undergraduate,Waitlist,Scholarly Writing and Argumentation in Land and Food Systems,W1,30,0,0,30,30,35,Lecture,Hybrid Learning,Lindsay Cuff
LFS_V 150-003,LFS_V,150,003,Undergraduate,Waitlist,Scholarly Writing and Argumentation in Land and Food Systems,W1,30,0,0,30,30,35,Lecture,Hybrid Learning,Duff Roberts
LFS_V 150-005,LFS_V,150,005,Undergraduate,Open,Scholarly Writing and Argumentation in Land and Food Systems,W1,29,0,0,29,30,35,Lecture,Online Learning,Amelia Macrae
LFS_V 150-006,LFS_V,150,006,Undergraduate,Open,Scholarly Writing and Argumentation in Land and Food Systems,W1,26,0,0,26,30,35,Lecture,Hybrid Learning,Lindsay Cuff
LFS_V 250-001,LFS_V,250,001,Undergraduate,Open,"Land, Food and Community I: Introduction to Food Systems and Sustainability",W1-2,201,0,0,201,210,100,Lecture,Online Learning,"Matthew Mitchell

William Valley"
LFS_V 250-002,LFS_V,250,002,Undergraduate,Open,"Land, Food and Community I: Introduction to Food Systems and Sustainability",W1-2,118,0,0,118,120,60,Lecture,Online Learning,Delisa Lewis
LFS_V 250-003,LFS_V,250,003,Undergraduate,Open,"Land, Food and Community I: Introduction to Food Systems and Sustainability",W1-2,94,0,0,94,120,60,Lecture,Online Learning,Amber Heckelman
LFS_V 250-004,LFS_V,250,004,Undergraduate,Closed,"Land, Food and Community I: Introduction to Food Systems and Sustainability",W1-2,3,0,0,3,0,0,Lecture,In Person Learning,"Matthew Mitchell

William Valley"
LFS_V 250-D01,LFS_V,250,D01,Undergraduate,Open,"Land, Food and Community I: Introduction to Food Systems and Sustainability",W1-2,177,0,0,177,210,0,Discussion,In Person Learning,"Matthew Mitchell

William Valley"
LFS_V 250-D02,LFS_V,250,D02,Undergraduate,Closed,"Land, Food and Community I: Introduction to Food Systems and Sustainability",W1-2,120,0,0,120,120,0,Discussion,Online Learning,Delisa Lewis
LFS_V 250-D03,LFS_V,250,D03,Undergraduate,Open,"Land, Food and Community I: Introduction to Food Systems and Sustainability",W1-2,119,0,0,119,120,0,Discussion,Online Learning,Amber Heckelman
LFS_V 250-LX1,LFS_V,250,LX1,Undergraduate,Open,"Land, Food and Community I: Introduction to Food Systems and Sustainability",W1-2,416,0,0,416,450,0,Laboratory,In Person Learning,
LFS_V 302-A_001,LFS_V,302,A_001,Undergraduate,Closed,International Field Studies,W1,1,0,0,1,0,0,Experiential,In Person Learning,
LFS_V 302-B_001,LFS_V,302,B_001,Undergraduate,Closed,International Field Studies,W1-2,0,0,0,0,0,0,Experiential,In Person Learning,
LFS_V 350-001,LFS_V,350,001,Undergraduate,Waitlist,"Land, Food, and Community II: Principles and Practice of Community Food Security",W1,30,0,0,30,30,25,Lecture,In Person Learning,William Valley
LFS_V 398-001,LFS_V,398,001,Undergraduate,Open,Co-operative Work Placement I,W1,17,0,0,17,50,0,Experiential,In Person Learning,
LFS_V 398-003,LFS_V,398,003,Undergraduate,Open,Co-operative Work Placement I,W1-2,0,0,0,0,50,0,Experiential,In Person Learning,
LFS_V 399-001,LFS_V,399,001,Undergraduate,Open,Co-operative Work Placement II,W1,33,0,0,33,50,0,Experiential,In Person Learning,
LFS_V 399-003,LFS_V,399,003,Undergraduate,Open,Co-operative Work Placement II,W1-2,0,0,0,0,50,0,Experiential,In Person Learning,
LFS_V 402-001,LFS_V,402,001,Undergraduate,Open,Living Language: Science and Society,W1,3,0,0,3,4,0,Lecture,Online Learning,"Bryan Gick

Elena Nicoladis"
LFS_V 496-A_001,LFS_V,496,A_001,Undergraduate,Closed,Career Development Practicum,W1,2,0,0,2,0,0,Experiential,In Person Learning,Andrew Riseman
LFS_V 496-B_001,LFS_V,496,B_001,Undergraduate,Closed,Career Development Practicum,W1,2,0,0,2,0,0,Experiential,In Person Learning,Andrew Riseman
LFS_V 496-B_003,LFS_V,496,B_003,Undergraduate,Closed,Career Development Practicum,W1-2,0,0,0,0,0,0,Experiential,In Person Learning,Andrew Riseman
LFS_V 498-001,LFS_V,498,001,Undergraduate,Open,Co-operative Work Placement III,W1,6,0,0,6,50,0,Experiential,In Person Learning,
LFS_V 498-003,LFS_V,498,003,Undergraduate,Open,Co-operative Work Placement III,W1-2,0,0,0,0,50,0,Experiential,In Person Learning,
LFS_V 499-001,LFS_V,499,001,Undergraduate,Open,Co-operative Work Placement IV,W1,1,0,0,1,50,0,Experiential,In Person Learning,
LFS_V 499-003,LFS_V,499,003,Undergraduate,Open,Co-operative Work Placement IV,W1-2,0,0,0,0,50,0,Experiential,In Person Learning,
LFS_V 500-003,LFS_V,500,003,Graduate,Open,Graduate Seminar,W1-2,3,0,0,3,10,0,Seminar,Hybrid Learning,
LFS_V 530-A_001,LFS_V,530,A_001,Graduate,Closed,Directed Studies,W1,0,0,0,0,0,0,Independent Study,In Person Learning,
LFS_V 530-A_003,LFS_V,530,A_003,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,
LFS_V 530-B_003,LFS_V,530,B_003,Graduate,Closed,Directed Studies,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,
LFS_V 549-001,LFS_V,549,001,Graduate,Closed,Master's Thesis,W1,0,0,0,0,0,0,Thesis,In Person Learning,
LFS_V 549-003,LFS_V,549,003,Graduate,Closed,Master's Thesis,W1-2,6,0,0,6,0,0,Thesis,In Person Learning,
LFS_V 649-001,LFS_V,649,001,Graduate,Closed,Doctoral Dissertation,W1,0,0,0,0,0,0,Thesis,In Person Learning,
LFS_V 649-003,LFS_V,649,003,Graduate,Closed,Doctoral Dissertation,W1-2,12,0,0,12,0,0,Thesis,In Person Learning,
LWS_V 501-001,LWS_V,501,001,Graduate,Open,Advanced Soil Processes,W1,20,0,0,20,25,0,Lecture,In Person Learning,Jean Thomas Cornelis
LWS_V 501-T01,LWS_V,501,T01,Graduate,Open,Advanced Soil Processes,W1,20,0,0,20,30,0,Discussion,In Person Learning,Jean Thomas Cornelis
LWS_V 510-003,LWS_V,510,003,Graduate,Open,Land and Water Seminar,W1-2,22,0,0,22,28,0,Seminar,In Person Learning,Leslie Lavkulich
LWS_V 515-001,LWS_V,515,001,Graduate,Open,Watershed Science,W1,15,0,0,15,25,0,Lecture,In Person Learning,Lewis Fausak
LWS_V 516-001,LWS_V,516,001,Graduate,Closed,Urban Watershed Management,W1,20,0,0,20,20,0,Lecture,In Person Learning,Julie Wilson
LWS_V 517-001,LWS_V,517,001,Graduate,Open,Land and Water Resource Evaluation,W1,22,0,0,22,28,0,Lecture,In Person Learning,Leslie Lavkulich
LWS_V 530-A_001,LWS_V,530,A_001,Graduate,Closed,Directed Studies in Land and Water Systems,W1,0,0,0,0,0,0,Independent Study,In Person Learning,
LWS_V 530-A_003,LWS_V,530,A_003,Graduate,Closed,Directed Studies in Land and Water Systems,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,
LWS_V 530-B_001,LWS_V,530,B_001,Graduate,Closed,Directed Studies in Land and Water Systems,W1,0,0,0,0,0,0,Independent Study,In Person Learning,
LWS_V 530-B_003,LWS_V,530,B_003,Graduate,Closed,Directed Studies in Land and Water Systems,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,
LWS_V 530-C_001,LWS_V,530,C_001,Graduate,Closed,Directed Studies in Land and Water Systems,W1,0,0,0,0,0,0,Independent Study,In Person Learning,
LWS_V 530-C_003,LWS_V,530,C_003,Graduate,Closed,Directed Studies in Land and Water Systems,W1-2,0,0,0,0,0,0,Independent Study,In Person Learning,
LWS_V 548-001,LWS_V,548,001,Graduate,Open,Major Project,W1,0,0,0,0,25,0,Independent Study,In Person Learning,
